trait1	trait2	rg	se	p	source
ADHD	AN	0.10	0.06	0.097	Lee2019
ADHD	ASD	0.36	0.08	5.5e-06	Lee2019
ADHD	BD	0.16	0.04	4.4e-05	Lee2019
ADHD	MDD	0.44	0.03	2.2e-16	Lee2019
ADHD	OCD	0.10	0.07	0.14	Lee2019
ADHD	SCZ	0.12	0.03	2.1e-04	Lee2019
ADHD	TS	0.11	0.06	0.068	Lee2019
ADHD	ANX	0.56	0.07	1.2e-15	Grotzinger2022
ADHD	PTSD	0.40	0.05	1.1e-14	Grotzinger2022
ADHD	ALCH	0.40	0.05	2.3e-16	Grotzinger2022
AN	ASD	0.07	0.07	0.33	Lee2019
AN	BD	-0.01	0.04	0.87	Lee2019
AN	MDD	0.21	0.04	7.4e-08	Lee2019
AN	OCD	0.49	0.08	1.3e-09	Lee2019
AN	SCZ	0.19	0.03	1.8e-09	Lee2019
AN	TS	0.07	0.06	0.28	Lee2019
AN	ANX	0.28	0.07	4.8e-05	Grotzinger2022
AN	PTSD	0.15	0.06	0.011	Grotzinger2022
AN	ALCH	-0.07	0.05	0.21	Grotzinger2022
ASD	BD	0.07	0.04	0.078	Lee2019
ASD	MDD	0.19	0.04	5.2e-06	Lee2019
ASD	OCD	0.14	0.07	0.052	Lee2019
ASD	SCZ	0.16	0.03	1.5e-07	Lee2019
ASD	TS	0.10	0.06	0.11	Lee2019
ASD	ANX	0.22	0.08	0.005	Grotzinger2022
ASD	PTSD	0.08	0.06	0.19	Grotzinger2022
ASD	ALCH	-0.04	0.06	0.50	Grotzinger2022
BD	MDD	0.35	0.03	5.2e-30	Lee2019
BD	OCD	0.13	0.05	0.014	Lee2019
BD	SCZ	0.68	0.02	2.2e-16	Lee2019
BD	TS	0.06	0.05	0.18	Lee2019
BD	ANX	0.33	0.05	4.0e-10	Grotzinger2022
BD	PTSD	0.19	0.04	3.1e-06	Grotzinger2022
BD	ALCH	0.27	0.04	1.0e-10	Grotzinger2022
MDD	OCD	0.21	0.05	4.1e-05	Lee2019
MDD	SCZ	0.32	0.03	2.2e-16	Lee2019
MDD	TS	0.09	0.05	0.056	Lee2019
MDD	ANX	0.81	0.06	2.2e-16	Grotzinger2022
MDD	PTSD	0.71	0.04	2.2e-16	Grotzinger2022
MDD	ALCH	0.50	0.04	2.2e-16	Grotzinger2022
OCD	SCZ	0.14	0.04	2.4e-04	Lee2019
OCD	TS	0.41	0.07	5.7e-09	Lee2019
OCD	ANX	0.35	0.08	1.4e-05	Grotzinger2022
OCD	PTSD	0.15	0.06	0.013	Grotzinger2022
OCD	ALCH	0.07	0.06	0.23	Grotzinger2022
SCZ	TS	0.05	0.04	0.19	Lee2019
SCZ	ANX	0.24	0.04	2.5e-08	Grotzinger2022
SCZ	PTSD	0.13	0.04	4.6e-04	Grotzinger2022
SCZ	ALCH	0.10	0.04	0.007	Grotzinger2022
TS	ANX	0.13	0.07	0.060	Grotzinger2022
TS	PTSD	0.06	0.06	0.30	Grotzinger2022
TS	ALCH	0.06	0.05	0.28	Grotzinger2022
ANX	PTSD	0.72	0.06	2.2e-16	Grotzinger2022
ANX	ALCH	0.41	0.06	2.8e-12	Grotzinger2022
PTSD	ALCH	0.55	0.05	2.2e-16	Grotzinger2022
